------------------------------------------------------------------------------------
Date: 5/20/2024 -- 07:16:00 (uptime: 0d, 00h 01m 03s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
app_layer.flow.dns_udp                        | Total                     | 290
app_layer.tx.dns_udp                          | Total                     | 5899
flow.end.state.new                            | Total                     | 136
flow.mgr.full_hash_pass                       | Total                     | 9
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9416
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 528
flow.mgr.flows_notimeout                      | Total                     | 411
flow.mgr.flows_timeout                        | Total                     | 117
flow.mgr.flows_evicted                        | Total                     | 117
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 117
flow.recycler.queue_max                       | Total                     | 5
tcp.memuse                                    | Total                     | 2424832
tcp.reassembly_memuse                         | Total                     | 458752
flow.memuse                                   | Total                     | 7154304
------------------------------------------------------------------------------------
Date: 5/20/2024 -- 07:18:31 (uptime: 0d, 00h 01m 04s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 52417
decoder.bytes                                 | Total                     | 16246404
decoder.ipv4                                  | Total                     | 52368
decoder.ipv6                                  | Total                     | 4
decoder.arp                                   | Total                     | 45
decoder.sll                                   | Total                     | 52417
decoder.tcp                                   | Total                     | 19164
tcp.syn                                       | Total                     | 101
tcp.synack                                    | Total                     | 72
tcp.rst                                       | Total                     | 107
decoder.udp                                   | Total                     | 33204
decoder.icmpv6                                | Total                     | 4
decoder.avg_pkt_size                          | Total                     | 309
decoder.max_pkt_size                          | Total                     | 32836
flow.total                                    | Total                     | 530
flow.active                                   | Total                     | 182
flow.tcp                                      | Total                     | 172
flow.udp                                      | Total                     | 355
flow.icmpv6                                   | Total                     | 3
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
flow.wrk.flows_evicted                        | Total                     | 19
tcp.invalid_checksum                          | Total                     | 14225
detect.alert                                  | Total                     | 28779
